,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
195,0,0.030903959006536752,26.6205,2000.0,True,2000,0.1,50
196,1,0.07666029199026525,17.3428,4002.0,True,2000,0.1,50
197,2,0.10495883401017636,17.3428,6003.0,True,2000,0.1,50
198,3,0.13408591703046113,17.3428,8004.0,True,2000,0.1,50
199,4,0.1660845840233378,17.3428,10005.0,True,2000,0.1,50
200,5,0.1944435000186786,17.3428,12006.0,True,2000,0.1,50
201,6,0.22344475000863895,17.3428,14007.0,True,2000,0.1,50
202,0,0.030903959006536752,26.6205,2000.0,True,2000,0.25,50
203,1,0.07666029199026525,17.3428,4002.0,True,2000,0.25,50
204,2,0.10495883401017636,17.3428,6003.0,True,2000,0.25,50
205,3,0.13408591703046113,17.3428,8004.0,True,2000,0.25,50
206,4,0.1660845840233378,17.3428,10005.0,True,2000,0.25,50
207,5,0.1944435000186786,17.3428,12006.0,True,2000,0.25,50
208,6,0.22344475000863895,17.3428,14007.0,True,2000,0.25,50
209,0,0.030903959006536752,26.6205,2000.0,True,2000,0.5,50
210,1,0.07666029199026525,17.3428,4002.0,True,2000,0.5,50
211,2,0.10495883401017636,17.3428,6003.0,True,2000,0.5,50
212,3,0.13408591703046113,17.3428,8004.0,True,2000,0.5,50
213,4,0.1660845840233378,17.3428,10005.0,True,2000,0.5,50
214,5,0.1944435000186786,17.3428,12006.0,True,2000,0.5,50
215,6,0.22344475000863895,17.3428,14007.0,True,2000,0.5,50
216,0,0.030903959006536752,26.6205,2000.0,True,2000,0.7,50
217,1,0.07666029199026525,17.3428,4002.0,True,2000,0.7,50
218,2,0.10495883401017636,17.3428,6003.0,True,2000,0.7,50
219,3,0.13408591703046113,17.3428,8004.0,True,2000,0.7,50
220,4,0.1660845840233378,17.3428,10005.0,True,2000,0.7,50
221,5,0.1944435000186786,17.3428,12006.0,True,2000,0.7,50
222,6,0.22344475000863895,17.3428,14007.0,True,2000,0.7,50
223,0,0.030903959006536752,26.6205,2000.0,True,2000,0.8,50
224,1,0.07666029199026525,17.3428,4002.0,True,2000,0.8,50
225,2,0.10495883401017636,17.3428,6003.0,True,2000,0.8,50
226,3,0.13408591703046113,17.3428,8004.0,True,2000,0.8,50
227,4,0.1660845840233378,17.3428,10005.0,True,2000,0.8,50
228,5,0.1944435000186786,17.3428,12006.0,True,2000,0.8,50
229,6,0.22344475000863895,17.3428,14007.0,True,2000,0.8,50
