,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
49,50,576.0,17020,27.23921870801132,"[0.0, 26.0, 12.0, 32.0, 7.0, 23.0, 23.0, 9.0, 14.0, 10.0, 16.0, 31.0, 14.0, 27.0, 2.0, 29.0, 32.0, 28.0, 21.0, 17.0, 13.0, 11.0, 16.0, 31.0, 29.0, 22.0, 25.0, 31.0, 6.0, 5.0, 19.0, 3.0, 24.0, 4.0, 29.0]",True,1000,0.8,50
50,0,567.0,2000,0.41252224997151643,"[8, 14, 13, 28, 28, 14, 15, 27, 2, 1, 12, 30, 23, 25, 28, 32, 33, 7, 4, 16, 0, 3, 8, 26, 2, 16, 32, 11, 22, 17, 15, 28, 5, 20, 24]",True,2000,0.1,50
51,50,584.0,32021,21.004554665996693,"[19.0, 10.0, 23.0, 2.0, 7.0, 30.0, 12.0, 27.0, 2.0, 8.0, 6.0, 22.0, 16.0, 28.0, 34.0, 31.0, 11.0, 6.0, 3.0, 24.0, 33.0, 13.0, 29.0, 16.0, 0.0, 5.0, 14.0, 15.0, 29.0, 26.0, 1.0, 18.0, 9.0, 12.0, 32.0]",True,2000,0.1,50
52,0,567.0,2000,0.41761054197559133,"[8, 14, 13, 28, 28, 14, 15, 27, 2, 1, 12, 30, 23, 25, 28, 32, 33, 7, 4, 16, 0, 3, 8, 26, 2, 16, 32, 11, 22, 17, 15, 28, 5, 20, 24]",True,2000,0.25,50
53,50,575.0,14007,7.324131333967671,"[34.0, 16.0, 32.0, 11.0, 13.0, 31.0, 26.0, 30.0, 20.0, 11.0, 0.0, 13.0, 28.0, 23.0, 12.0, 15.0, 3.0, 10.0, 5.0, 7.0, 29.0, 26.0, 4.0, 10.0, 20.0, 22.0, 30.0, 2.0, 29.0, 21.0, 8.0, 17.0, 27.0, 18.0, 7.0]",True,2000,0.25,50
54,0,567.0,2000,0.40887008397839963,"[8, 14, 13, 28, 28, 14, 15, 27, 2, 1, 12, 30, 23, 25, 28, 32, 33, 7, 4, 16, 0, 3, 8, 26, 2, 16, 32, 11, 22, 17, 15, 28, 5, 20, 24]",True,2000,0.5,50
55,50,577.0,26015,21.571745084016584,"[19.0, 25.0, 30.0, 8.0, 2.0, 23.0, 21.0, 0.0, 5.0, 27.0, 12.0, 33.0, 5.0, 16.0, 17.0, 10.0, 10.0, 24.0, 32.0, 18.0, 29.0, 31.0, 20.0, 11.0, 15.0, 20.0, 7.0, 13.0, 1.0, 10.0, 31.0, 15.0, 14.0, 29.0, 9.0]",True,2000,0.5,50
56,0,567.0,2000,0.4126467079622671,"[8, 14, 13, 28, 28, 14, 15, 27, 2, 1, 12, 30, 23, 25, 28, 32, 33, 7, 4, 16, 0, 3, 8, 26, 2, 16, 32, 11, 22, 17, 15, 28, 5, 20, 24]",True,2000,0.7,50
57,50,576.0,14007,30.918608249980025,"[9.0, 26.0, 13.0, 8.0, 33.0, 11.0, 8.0, 15.0, 30.0, 29.0, 14.0, 6.0, 29.0, 5.0, 32.0, 5.0, 4.0, 0.0, 11.0, 12.0, 20.0, 1.0, 3.0, 32.0, 11.0, 24.0, 22.0, 9.0, 2.0, 10.0, 3.0, 21.0, 31.0, 25.0, 28.0]",True,2000,0.7,50
58,0,567.0,2000,0.5420717499800958,"[8, 14, 13, 28, 28, 14, 15, 27, 2, 1, 12, 30, 23, 25, 28, 32, 33, 7, 4, 16, 0, 3, 8, 26, 2, 16, 32, 11, 22, 17, 15, 28, 5, 20, 24]",True,2000,0.8,50
59,50,574.0,14007,16.220490082981996,"[3.0, 2.0, 19.0, 23.0, 24.0, 34.0, 2.0, 13.0, 10.0, 32.0, 27.0, 4.0, 2.0, 10.0, 14.0, 26.0, 29.0, 29.0, 12.0, 30.0, 11.0, 14.0, 3.0, 20.0, 23.0, 1.0, 6.0, 31.0, 17.0, 0.0, 25.0, 18.0, 8.0, 5.0, 20.0]",True,2000,0.8,50
